Long,Lat,ID,Elevation
-6.505951,37.000705,CM1,18.391
-6.506264,37.00066,CM2,15.507
-6.506806,37.00109,CM3,18.871
-6.507274,37.000618,CM4,18.631
-6.507077,37.00003,CM5,15.267
-6.506016,37.001342,CM6,17.43
-6.530508,37.012648,MM1,27.283
-6.530221,37.012364,MM2,28.004
-6.530072,37.01314,MM3,25.601
-6.529493,37.01281,MM4,27.764
-6.533376,37.012894,MM5,35.935
-6.533708,37.012697,MM6,33.051
-6.513126,36.996317,OM1,19.833
-6.511015,36.998932,OM2,25.36
-6.511229,36.996657,OM3,22.957
-6.512393,36.997082,OM4,28.004
-6.51076,36.99981,OM5,22.236
-6.511239,37.000018,OM6,21.515